de_name	de_name_caps	event_name_display	@event_description	de_type	Remove cell before coding	de_date	de_movie	#de_regions	de_position	#de_position_x	#de_position_y
Event Name	Event Name CAPS	Event Name In-game	Description	Event Type	reference type	Event Date	Event Movie	Event Regions Affected	Positions?	Event Positions Affected (x)	Event Positions Affected (y)
first_windmill	FIRST_WINDMILL	test 1	test 1 description			1	-	-	no	-	-
											
aarons_flood		St. Aarons Flood			disaster	680		Utrecht_Province			
abelard_opens_school		Pierre Abélard opens his school in Paris.	Pierre Abélard opens his school in Paris.		social effect	66					
aberacht_activated											
agathas_flood		St. Agatha flood			disaster	416		Ghent_Province, Utrecht_Province			
aleppo_earthquake		1138 Aleppo earthquake			disaster	116		Aleppo_Province			
all_saints_flood		All Saints' Flood				180		Ghent_Province, Utrecht_Province, Ribe_Province			
althing_literate			In Iceland, the Althing decides that the laws should be transferred to a written form.		social effect	40					
anglo_iceland_1419		English unrest in Iceland	    * English violence breaks out in Iceland, as the local merchants continue to push for political power.		rebel unrest	678		Skalholt_Province			
anglo_iceland_1420		English unrest in Iceland	Thorleif Arnason, sailing to complain to the King about the English, is attacked by an English ship, before making it to Norway. The Englishmen from Hull loot and pillage in Iceland. 		rebel unrest	680		Skalholt_Province			
anglo_iceland_1422_23		English unrest in Iceland	The Englishmen from Hull attack and rob the Royal farm at Bessastaðir. 		rebel unrest	684		Skalholt_Province			
anglo_iceland_1425		English unrest in Iceland	Englishmen from Hull capture the governor of Iceland and his deputy. 		rebel unrest	690		Skalholt_Province			
anglo_iceland_1426		English unrest in Iceland	    * John Williamson Craxton is named Bishop of Holar.		rebel unrest	692		Skalholt_Province			
anglo_iceland_1429		English unrest in Iceland	    * Five Icelandic boys and three girls are found to have been sold into slavery in Bristol.     * Eleven Icelandic children arrive in Lynn and are being sold into slavery when they are discovered by Bishop Jon Gereksson of Skalholt, who happens to be in Lynn. He removes the children from Lynn and takes them home. 		rebel unrest	698		Skalholt_Province			
anglo_iceland_1432		English unrest in Iceland	    * King Eirik orders the English to free and return any people taken from northern countries. Bishop Jon Gereksson of Skalholt is dragged from his own cathedral in Iceland and drowned by irate Icelanders.		rebel unrest	704		Skalholt_Province			
annus_jubileus			Year of jubilee, Holy Year, established by Boniface VIII in 1300 to be held once a hundred years, but during time the interval shortened until it was merely 25 years or even at the him of the Pope as long as the year was generally correct. During jubilee, a complete remission of sins was granted to pilgrims visiting Rome who visited a certain number of the most important churches there. Pilgrims from all over Christendom descended on Rome, including Dante, St. Birgitta of Sweden and the poet Petrarch. Villani describes the indulgence connected with this jubilee as a full and entire remission of all sins di culpa e di pena (Italian: of guilt and of punishment), and he dwells upon the great contentment and good order of the people, despite the fact that during the greater part of that year there were two hundred thousand pilgrims on an average present in Rome over and above the ordinary population.		social effect	440		Rome_Province			
avignon_papacy		Avignon Papacy				450					
basel_earthquake		1356 Basel earthquake			disaster	552		Basel_Province			
battagliole_activated											
bayeaux_tapestry_completed		Bayeaux Tapestry completed.			ancillary unlock	4					
bjarmings_emigrate			Norwegians had been trading across the north of Scandinavia, through the White Sea with Beorma since the 850s. A Norse merchant at the court of Alfred the Great gave an account of his travels with great detail. Several kings such as Eirik Bloodaxe, Harald II, Haakon Magnusson and also Tore Hund all made expeditions or raids into Bjarmaland. The 13th century seems to have seen the decline of the Bjarmings, who became tributaries of the Novgorod Republic. While many Slavs fled the Mongol invasion northward, to Beloozero and Bjarmaland, the displaced Bjarmians sought refuge in Norway, where they were given land in Malangen, by Haakon IV, in 1240. More important for the decline was probably that, with the onset of the Crusades, the trade routes had found a more westerly orientation or shifted considerably to the south. When the Novgorodians founded Velikiy Ustiug, in the beginning of the 13th century, the Bjarmians had a serious competitor for trade. More and more Pomors arrived in the area during the 14th and 15th centuries, which led to the final subjugation and assimilation of the Bjarmians by the Slavs.		social effect	320		Trondheim_Province, Kholmogory_Province			
black_death			The Black Death is estimated to have killed 30% – 60% of Europe's population. Thought to have started in China, it travelled along the Silk Road and had reached the Crimea by 1346. From there, probably carried by Oriental rat fleas residing on the black rats that were regular passengers on merchant ships, it spread throughout the Mediterranean and Europe. The first incursion seems to have come onboard a Genoese vessel from Chersonesos where the crew arrived in port in a state of torpour, most of them dead. It was due to the social situation caused by the reaction to the earlier Great Famine, that allowed the Black Death to reap such a terrible harvest. In Christian Europe, people believed that the plague was punishment from God for the sins of all Christians. In addition to blaming the Jews, there was a widespread belief in the Catholic world that the plague might have been brought on by the corruption of the papacy. This lead to an increase in personal religion or heresy and in turn sowed the seeds for later Protestant Reformations such as the Hussites. Islamic theology held different views about the plague. Muslims agreed with Christians that the disease was the work of God, but they did not necessarily view it as a punishment. Muslims preserved their belief in a compassionate and merciful God, and thus they believed that death from the plague was an offer of martyrdom. They formed three basic tenets for coping with the plague: 1. The plague was a mercy and a martyrdom from God for the faithful Muslim, and a punishment for the infidel. 2. A Muslim should neither enter nor flee a plague-stricken land. 3. There was no contagion of the plague, because diseases came directly from God.  Muslim doctors and scientists often had a difficult time in reconciling these tenets, particularly the third, with growing evidence that a contagion indeed existed. As well, doctors often felt obliged to try to treat people infected with the plague in any way they could, which conflicted with the Islamic theological view that the disease had been sent by God and therefore must simply be endured. Theologians also encountered problems when the plague hit the holy city of Mecca in 1349, likely the result of pilgrimage traffic during the Hajj. The Prophet had promised that no disease would ever come to either Mecca or Medina. Some Muslims explained the Plague's presence in Mecca as the result of unbelievers living there, while others rejoiced in the miracle that it never spread to Medina. Economically, the scarcity of goods caused by the labour shortage resulted in higher prices, while many foreign goods were not available at all, because of Plague-related deaths among foreign merchants. A decline in artistic creativity also followed the Black Death, as many artisans and architects died. The legacy of the continuous shroud of death during this period is demonstrated in art ranging from Persia to Scandinavia, which depicted scenes of death and mourning. 		disaster	532					
breton_pirate_queens			Jeanne de Montfort (female aged 50), nicknamed "The Flame", sailed in the English Channel plundering French ships, fighting with the English for Brittany's independence. She played an important role in the Battle of Morlaix. Another woman, Jeanne de Clisson (aged 43), was known as "The Lioness of Brittany" also joined English fleets agains the French for Brittany.		character spawn	524					
bulgaria_independence			In the summer of 1185 a miraculous icon of Saint Dimitar of Solun was found in Tarnovo and the Asen brothers claimed that the saint had abandoned Solun in order to help the Bulgarian cause. That had a large psychological impact on the religious population. Between the autumn of 1185 and the spring of 1186 the whole northern Bulgaria with the exception of Varna was liberated. In the summer the Byzantine Emperor Isaac II Angelos managed to overcome the mountain passes and invaded Moesia. Asen retreated to the north of the Danube and after the Byzantines went back to Constantinople he returned with more Cuman auxiliaries and soon the war continued to the south in Thrace. A skillful general, Asen stroke swiftly and constantly harassed the larger Byzantine armies. After an unsuccessful siege of Lovech in 1187 the Byzantines were forced to plead for a truce. Three years later they were decisively defeated near Tryavna, Isaac II Angelos barely escaped leaving the Imperial crown and cross. In the next five years the Bulgarian held the initiative and reconquered more towns and castles in northern Thrace and Macedonia especially after the major victory at Arcadiopolis in 1194 and in 1196 the Byzantines were defeated at Serres but soon after that Asen was murdered by his cousin Ivanko incited by the Byzantines. He usurped the throne but could not stay in the capital which was besieged by Peter; fled to Byzantium and was made a governor of Plovdiv. However, only a year later Peter IV became victim of another plot and was succeeded by the youngest brother Kaloyan.		rebel unrest	210					
carthusian_founded			Carthusian Order Founded		religious	8					
catalonia_earthquake		1428 Catalonia earthquake			disaster	698		Barcelona_Province			
charter_of_liberties_event		Charter of Liberties			social effect	40					
chelmno_rights		Jus Culmense vetus			social effect	306					
childrens_crusade		Children's Crusade	The Children's Crusade is the name given to a disastrous Crusade by Christian children to expel Muslims from the Holy Land said to have taken place in 1212. The traditional narrative is probably conflated from some factual and mythical notions of the period including visions by a French or German boy, an intention to peacefully convert Muslims in the Holy Land to Christianity, bands of children marching to Italy, and children being sold into slavery. In the first movement, Nicholas, a shepherd from the Rhineland in Germany who possessed an extraordinary power of speech, tried to lead a group across the Alps and into Italy in the early spring of 1212. Nicholas promised that the sea would dry up before them and allow his followers to cross into the Holy Land. Rather than intending to fight the Saracens, he said that the Moslem kingdoms would be defeated when their citizens converted to Christianity. His disciples went off to preach the call for the "Crusade" across the German lands, and they massed in Cologne after a few weeks. Splitting into two groups, the crowds took different roads through Switzerland. Two out of every three people on this ghastly journey died, while many others returned to their homes. About 7,000 arrived in Genoa in late August. They immediately marched to the harbor, expecting the sea to divide before them; when it did not many became bitterly disappointed. A few accused Nicholas of betraying them, while others settled down to wait for God to change his mind, since they believed that it was unthinkable he would not eventually do so. The Genoese authorities were impressed by the little band, and they offered citizenship to those who wished to settle in their city. Most of the would-be Crusaders took up this opportunity. Nicholas refused to admit defeat and traveled to Pisa, his movement continuing to break up along the way. He and a few loyal followers continued to the Papal States, where Pope Innocent III treated them kindly enough. The remaining ones departed for Germany after the Pontiff told them to be good and return home. Nicholas did not survive the second attempt across the Alps; back home his father was arrested and hanged under pressure from angry families whose relatives had perished while following the child. Some of the most dedicated members of this Crusade were later reported to have wandered to Ancona and Brindisi; none reached the Holy Land. The second movement was led by a twelve-year-old French shepherd boy named Stephan of Cloyes, who claimed in June that he bore a letter for the king of France from Jesus. Large gangs of youth around his age were drawn to him, most of whom claimed to possess special gifts of God and thought themselves miracle workers. Attracting a following of over 30,000 adults and children, he went to Saint-Denis, where he was seen to cause miracles. On the orders of Philip II, advised by the University of Paris, the people were implored to return home. Philip himself did not appear impressed, especially since his unexpected visitors were led by a mere child, and refused to take them seriously. Stephan, however, was not dissuaded, and began preaching at a nearby abbey. From Saint-Denis, Stephan traveled around France, spreading his messages as he went, promising to lead charges of Christ to Jerusalem. Although the Church was skeptical, many adults were impressed by his teaching. Still, few of those who initially joined him possessed his activeness; it is estimated that there were less than half the initial 30,000 remaining, a figure that was shrinking rapidly, rather than growing as perhaps anticipated. At the end of June 1212, Stephan led his largely juvenile Crusaders from Vendôme to Marseilles. They survived by begging for food, while the vast majority seem to have been disheartened by the hardship of this journey and returned to their families.		disaster	264					
church_tithes_in_iceland		Church-tithes in Iceland	In this year, Iceland was finally forced to enact tithes for the church in Rome and for the upkeep of the ministries on the island. Most churches were local places or chapels attached to a family farmstead or a village. Of the two Icelandic bishoprics they were large farmsteads like any other and the title of bishop was hereditary, since like many medieval priests- the bishops were married and had children. Therefore the tithes were very unpopular since it was considered to be a form of tax paid to the powerful men of Iceland and gave nothing back to the people.			34					
cicilia_earthquake		1268 Cilicia earthquake			disaster	376		Adana_Province			
clemens_flood		St. Clemens flood			disaster	508		Ghent_Province, Utrecht_Province			
complaint_of_the_poor		The Complaint of the Poor Commons of Kent	The Complaint of the Poor Commons of Kent was a manifesto issued by Jack Cade, a Kentish rebel in 1450, before his march on London. The 'popular grievances' from this manifesto were frequently quoted by the Yorkists during The Wars of the Roses, for propaganda purposes.	historic	rebel unrest	740					
congress_of_vytechev 		Congress of Vytechev 	August 30 – after the failure of the Council of Liubech in 1097, the Congress of Vytechev establishes peace and the feudal system in Kievan Rus, the princes come to an agreement to share the country between them and Sviatopolk II of Kiev becomes the first Grand Prince.		social effect	40					
council_of_liubech		Council of Liubech	The Council of Liubech was the first known federal council of the Kievan Rus'. It was held in 1097 between the constantly rivaling regional princes. The council was followed later by another session in Vytechev on August 10, 1100, known as the Council of Vytechev. The council was initiated by Vladimir II Monomakh, and gathered Sviatopolk II Iziaslavich, Vasilko Rostislavich, David Svyatoslavich, Oleg Svyatoslavich, and other Rus' princes. The goal was to stop the brotherly war, to pacify the people, and to present a unified front against the Polovtsy (Cumans). The result was the division of Kievan Rus' among the princes and letting their families inherit them. This broke a Rota system (lestvichesliy right) that was observed in Kievan Rus' for two centuries. The principalities were divided as follows: Sviatopolk II was given Kiev, Turov, Pinsk, and the title of the Grand Prince. Vladimir II Monomakh received Pereyaslavl, Rostov-Suzdal lands, Smolensk, and Beloozero. His son Mstislav received Great Novgorod. Oleg, Davyd, and Yaroslav, all of Sviatoslav, were given Chernigiv, Tmutarakan, Ryazan, and Murom and the remaining izgoi princes: David Igorevich received Volodymyr-Volynskyi. Volodar Rostislavich - Peremyshl. Vasilko Rostislavich - Terebovl. This change effectively established a feudal system in Kievan Rus'. It stopped the struggle for Chernigiv, but was not observed perfectly. After the death of Sviatopolk, the citizens of Kiev revolted and summoned Monomakh to the throne. Nevertheless, it allowed other principalities to consolidate their power and develop as powerful regional centers. Most notably Galicia-Volhynia and Vladimir-Suzdal.		social effect	34					
council_of_london		Council of London	Slave trade in England abolished. Council Ruling 27: "Let no one presume for the future to enter into that nefarious business by which they were accustomed hitherto to sell men like brute animals in England."  Some countries never really gave it up, between 1414 and 1423, at least 10,000 eastern European slaves were sold in Venice alone. About 10% of England’s population entered in the Domesday Book in 1086 were slaves. Norway abolished slavery around 1274, and Sweden in 1343. In a raid on Lisbon in 1189 the Almohad caliph Yaqub al-Mansur took 3,000 female and child captives, and his governor of Córdoba took 3,000 Christian slaves in a subsequent attack upon Silves in 1191. In 1382 the Golden Horde under Khan Tokhtamysh sacked Moscow, burning the city and carrying off thousands of inhabitants as slaves. Slavery wasn't abolished in Russia until the 18th century. The Council also bans sodomy.			44		London_Province, Norwich_Province, York_Province			
crete_earthquake		1303 Crete earthquake			disaster	446		Heraclion_Province			
cyprus_1222_earthquake		1222 Cyprus earthquake			disaster	284		Nicosia_Province			
czech_coronation			The Holy Roman Emperor has rewarded the Prince of Bohemia an honour to bear a crown of kings for his invaluable and persistent support.		transition						
danzig_rights		Danziger Willkür			social effect	292					
duel_activated											
dynamic_regent_activated											
earthquake_britain		Earthquake in Britain	August 11 – A powerful earthquake is recorded in Britain.		disaster	19					
earthquake_georgia		Earthquake in Georgia	An earthquake affects the Kingdom of Georgia and causes large damages.		disaster	16					
earthquake_synod 		Earthquake Synod 	The Earthquake Synod was an English synod that took place on May 21, 1382, in the Blackfriars area of London, England. William Courtenay, the Archbishop of Canterbury, convened the synod to address the emerging Lollard thinkers challenging the church. In particular, the synod condemned John Wycliffe's twenty-four theses, although many had already been condemned as heresy by a synod at St. Paul's Cathedral in February 1377. The synod also issued teachings on the doctrine of transubstantiation and friars. The synod got its name from the fact that an earthquake shook the city of London during its meetings.		disaster	604		London_Province			
east_west_diplomacy_negative											
east_west_diplomacy_positive											
edict_hussites		Edykt wieluński	The Edict of Wieluń was a 1424 law issued in Wieluń by King of Poland Władysław II Jagiełło under pressure from the Catholic Church. The edict outlawed Hussitism.		religious	688					
escola_nautica_building_constructed		Voyages of Discovery									
fall_of_baghdad			"They swept through the city like hungry falcons attacking a flight of doves, or like raging wolves attacking sheep, with loose reins and shameless faces, murdering and spreading terror...beds and cushions made of gold and encrusted with jewels were cut to pieces with knives and torn to shreds. Those hiding behind the veils of the great Harem were dragged...through the streets and alleys, each of them becoming a plaything...as the population died at the hands of the invaders." Waṣṣāf al-Ḥaḍrat (Persian historian)....In 1257 Möngke Khan (the 4th great Khan) resolved to establish firm imperial authority over Iraq, Syria and Persia. The Khagan sent his brother Hulegu to Iran, demanding that the caliph come to meet Hülegu personally and send troops to assist his army in reducing the Ismaili strongholds. Möngke told Hulegu that if the caliph refused, then he was to destroy Baghdad.Hulegu's conscribed one out of every ten fighting men in the empire for the invasion force, knowing that Baghdad, Ismaili strongholds and Syria were large and powerful in the region. This force is estimated to be upwards of 150,000 strong and was probably the largest force ever fielded by the Mongols.The Siege of Baghdad the capital of the Abbasid Caliphate in 1258, was an invasion, siege and sacking of the city. The city was sacked and burned. Even the libraries of Baghdad, including the House of Wisdom, were not safe from the attacks of the Ilkhanate forces, who totally destroyed the libraries and used the invaluable books to make a passage across Tigris River. As a result, Baghdad remained depopulated and in ruins for several centuries, and the event is widely regarded as the end of the Islamic Golden Age.The Grand Library of Baghdad, containing countless precious historical documents and books on subjects ranging from medicine to astronomy, were destroyed. Survivors said that the waters of the Tigris ran black with ink from the enormous quantities of books flung into the river and red from the blood of the scientists and philosophers killed. The Mongols looted and then destroyed mosques, palaces, libraries, and hospitals. Grand buildings that had been the work of generations were burned to the ground. The caliph was captured and forced to watch as his citizens were murdered and his treasury plundered. According to most accounts, the caliph was killed by trampling. The Mongols rolled the caliph up in a rug, and rode their horses over him, as they believed that the earth was offended if touched by royal blood. All but one of his sons were killed, and the sole surviving son was sent to Mongolia.Citizens attempting to flee, were intercepted by Hulegu's soldiers and killed with abandon. The invasion left Baghdad in a state of total destruction. Estimates of the number of inhabitants massacred during the invasion range from 100,000 to 1,000,000. a Due to the stench of decay from the ruined city Hulagu had his camp moved upwind. Baghdad was a depopulated, ruined shell of a city for several centuries and only gradually recovered some of its former glory.              		spawn	354					
fall_of_the_oriflamme			The great holy banner of the Kingdom of France has fallen to the enemy and is lost forever		ancillary lock						
first_cartography_of_the_americas		First cartography of the Americas	In 1360 an English Minorite friar (author of Inventio fortunatae) visited Greenland and substantiated the abandonment of the Western Settlements. He exchanged an astrolabe with a priest for a Testament, the friar then continued on his journey to the North Pole before returning to England to write his book, whose detailed accounts were the basis for Martin Behaim's 1492 globe and of all the maps of the northwestern regions and North Pole until the 1700s. In 1477 Christopher Columbus sails to Iceland gaining key information for his later voyages west to 'discover' the Americas that the Norse already had information of via 'Wineland' and the voyages from Greenland to Newfoundland. 			560					
first_cistercian			Cîteaux Abbey, the first Cistercian monastery, is founded in southern France. 		religious/ building unlock	18					
first_crusade_called			The council of Clermont. The first crusade initiated, Pope Urban II’s speech ending with the famous words “God wills it”. Anther important topic of the council was church reform.			30					
first_elizabeth_flood		First St. Elizabeth's Flood			disaster	648		Ghent_Province, Utrecht_Province			
first_lateran_council			The Council of 1123 is reckoned in the series of Ecumenical councils by the Catholic Church. It was convoked by Pope Callixtus II in December, 1122, immediately after the Concordat of Worms. The council convoked by Callistus II was significant in size: three hundred bishops and more than six hundred abbots assembled at Rome in March, 1123; Callistus presided in person. For the most part, Pope Callistus II summoned the council to ratify the various meetings and concords which had been occurring in and around Rome for several years. The most pressing issue was that of the Investiture controversy which had consumed nearly a century of contention and open warfare. At the heart of the question was the ancient right of the Holy Roman Emperor to name the pope as well as bishops and priests. These would be invested with some secular symbol such as a sword or scepter and the spiritual authority represented by a ring, miter and crosier. To an illiterate population, it appeared the bishop or abbot was now the king’s inferior and owed his position to the king. This issue came to the fore in the first part of the eleventh century when Rome and the pope sought autonomy from the Holy Roman Emperor. It had been a central issue in the reign of Pope Gregory VII and his battles with Henry IV, Holy Roman Emperor. The issue was never settled. Years of teaching by Roman trained priests and bishops in Germany had led to an educated generation which once and for all, rejected the idea of divine right of kings. It would never hold sway again in Europe, at least with as much conviction as it had prior to Lateran I. At the time, the Concordat of Worms was proclaimed as a great victory for Henry V inside the Holy Roman Empire. It did serve to constrain much of the most recent warfare in and outside the empire. In the end, Henry V died the monarch of a much diminished kingdom. Although it may have been the end of the Investiture controversy it was only the beginning for the Guelph and Ghibelline wars.			86					
flood_1212_year		Great Flood of 1212			disaster	264		Ghent_Province, Utrecht_Province, Ribe_Province			
founding_of_the_hospitallers		Founding of the Hospitallers	In 600, Pope Gregory I commissioned the Ravennate Abbot Probus, who was previously Gregory's emissary at the Lombard court, to build a hospital in Jerusalem to treat and care for Christian pilgrims to the Holy Land. In 800, Charlemagne, Emperor of the Holy Roman Empire, enlarged Probus' hospital and added a library to it. About 200 years later, in 1005, Caliph Al Hakim destroyed the hospital and three thousand other buildings in Jerusalem. In 1023, Italian merchants from Amalfi and Salerno were given permission by the Caliph Ali az-Zahir of Egypt to rebuild the hospital in Jerusalem, which was built on the site of the monastery of Saint John the Baptist, and took in Christian pilgrims travelling to visit the Christian holy sites. It was served by Benedictine monks. The monastic hospitaller order was founded by the Blessed Gerard before the end of the Crusade in 1099, whose role as founder was confirmed by a Papal bull of Pope Paschal II in 1113. Gerard acquired territory and revenues for his order throughout the Kingdom of Jerusalem and beyond. His successor, Raymond du Puy de Provence, established the first significant Hospitaller infirmary near the Church of the Holy Sepulcher in Jerusalem. Initially the group cared for pilgrims in Jerusalem, but the order soon extended to providing pilgrims with an armed escort, which soon grew into a substantial force. The concept became quickly renowned, it directly inspired and nurtured the Templar Order and most notably it was the parent body of the Order of Lazarus and the Teutonic Order. Throughout the Middle Ages it was the largest, most populous and militarily successful Order.			66					
friuli_earthquake		1348 Friuli earthquake			disaster	536		Venice_Province, Rome_Province, Naples_Province, Vienna_Province, Verona_Province			
gauldal_landslide		Gauldal landslide			disaster	530		Trondheim_Province			
georgian_alans_question		Invite Kuman and Qipchaq settlers?	King David resettles a Kipchak tribe of 14.000 families from the Northern Caucasus in Georgia in 1118–1120. Every Georgian and Kipchak family was obliged to provide one soldier with a horse and weapons. This 56.000 men strong army was entirely dependent on the King. Kipchaks were settled in different regions of Georgia. Some were settled in Inner Kartli province, others were given lands along the border. They were quickly assimilated into Georgian society.			76					
gesta_principum_polonorum_begun 		Gesta principum Polonorum 	Gallus Anonymus begins to write Gesta principum Polonorum to Bolesław III Wrymouth.		social effect	64					
golden_bull_of_sicily		Zlata bula sicilska	The so-called Golden Bull of Sicily (Czech: Zlata bula sicilska) is a decree issued by the Holy Roman Emperor in Basel confirming the royal title obtained by Bohemian King, declaring him and his heirs Kings of Bohemia. The kingship signifies the exceptional status of Bohemia within the Holy Roman Empire and begins the new era for Bohemia		transition						
great_comet_of_1106		Great Comet of 1106	A Great Comet that appeared on February 2, 1106, and was observed across the world from the beginning of February through to mid-March. It was recorded by astronomers in Wales, England, Japan, Korea, China and Europe. It was observed to split in two. A brief note in the Welsh manuscript known as the Brut y Tywysogion reads (in translation): [-1106]. In that year there was seen a star wonderful to behold, throwing out behind it a beam of light of the thickness of a pillar in size and of exceeding brightness, foreboding what would come to pass in the future: for Henry, emperor of Rome, after mighty victories and a most pious life in Christ, went to his rest. And his son, after winning the seat of the empire of Rome, was made emperor. The 1106 annal of the Peterborough Chronicle describes the comet. The Dorothy Whitlock translation reads: In the first week of Lent, on the Friday, 16 February, in the evening, there appeared an unusual star, and for a long time after that it was seen shining a while every evening. This star appeared in the south-west; it seemed small and dark. The ray that shone from it, however, was very bright, and seemed to be like an immense beam shining north-east; and one evening it appeared as if this beam were forking into many rays toward the star from an opposite direction.		historic	52					
great_famine		The Great Famine	The Great Famine of 1315–1317 (occasionally dated 1315–1322) was the first of a series of large scale crises that struck North Europe early in the fourteenth century, causing millions of deaths over an extended number of years and marking a clear end to an earlier period of growth and prosperity during the eleventh to thirteenth centuries. Starting with bad weather in spring 1315, universal crop failures lasted through 1316 until summer 1317; Europe did not fully recover until 1322. It was a period marked by extreme levels of crime, disease, mass death and even cannibalism and infanticide. It had consequences for Church, State, European society and future calamities to follow in the fourteenth century. It was the worst famine in European history, reducing the population by more than 10%. Where government authorities were concerned, most monarchs instituted measures that prohibited exports of foodstuffs, condemned black market speculators, set price controls on grain and outlawed large-scale fishing. At best, they proved mostly unenforceable and at worst they contributed to a continent-wide downward spiral. The hardest hit lands, like England, were unable to buy grain abroad: from France because of the prohibition, and from most of the rest of the grain producers because of crop failures from shortage of labour. Any grain that could be shipped was eventually taken by pirates or looters to be sold on the black market. Meanwhile, many of the largest countries, most notably England and Scotland, had been at war, using up much of their treasury and exacerbating inflation. In 1337, on the eve of the first wave of the Black Death, England and France went to war in what would become known as the Hundred Years' War. This situation was worsened when landowners and monarchs such as Edward III of England (r. 1327–1377) and Philip VI of France (r. 1328–1350), raised the fines and rents of their tenants out of a fear that their comparatively high standard of living would decline. The European economy entered a vicious circle in which hunger and chronic, low-level debilitating disease reduced the productivity of labourers, and so the grain output was reduced, causing grain prices to increase. Standards of living fell drastically, diets grew more limited, and Europeans as a whole experienced more health problems which reduced the population's immune systems to exacerbate the effects of the later Black Death.		disaster	470					
gunpowder_in_europe		Gunpowder Explodes into Europe	The Norwegian 'Konungs Skuggsjá' of 1250 AD mentions in its military chapter, the use of two key ingredients: "coal and sulphur" as the best weapons for ship-to-ship combat. Dated around 1257 AD, among the earliest extant written references to gunpowder in Europe, are Roger Bacon's texts Epistola, "De Secretis Operibus Artis et Naturae et de Nullitate Magiae," dated variously between 1248 and 1257, he states: We can, with saltpeter and other substances, compose artificially a fire that can be launched over long distances... By only using a very small quantity of this material much light can be created accompanied by a horrible fracas. It is possible with it to destroy a town or an army ... In order to produce this artificial lightning and thunder it is necessary to take saltpeter, sulfur, and Luru Vopo Vir Can Utriet.		units unlock	340					
hekla_erupts		Hekla Erupts	The volcano Hekla erupts in Iceland, destroying settlements.		disaster	48					
henry_rises		Rise of Henry de Bourgogne	Henry of Burgundy becomes Count of Portugal through his marriage to Theresa, Countess of Portugal.		character spawn	26					
high_tides_britain		High Tides	High tides cause great flooding in England and Scotland. The Kentish lands of Earl Godwin are inundated, becoming known as the Goodwin Sands.		disaster	24					
hospitallers_begin		Order of the Knights of the Hospital of Saint John founded.	The Order of the Knights of the Hospital of Saint John, founded to protect pilgrims to the Holy Land, vows to fight in its defense.		building unlock	66					
hugh_of_stvictor		Hugh of St. Victor joins the Victorines in Paris.	The school of St Victor was the medieval monastic school at the Augustinian abbey of St Victor. The name also refers to the Victorines, the group of philosophers and mystics based at this school as part of the University of Paris. It was founded in the twelfth century by Peter Abelard's tutor and subsequent opponent, the realist school master William of Champeaux, and a prominent early member of their community was Hugh of St Victor. Other prominent members were Richard of St Victor, Walter of St Victor and Godfrey of St Victor, as well as Thomas Gallus. Under the rigorous supervision of Hugh, St Victor offered a coherent and structured approach to learning through the cultivation of personal virtue rather than the requisition of knowledge for its own sake. This is exemplified in the schema for the liberal arts laid out in Hugh's Didascalicon, in which he exhorts the reader to Omnia Disce, or to know all. By 1160, the abbey had become a place of retreat from the schools, echoing the original act of weary retirement enacted by William of Champeaux at its founding. By the time of Godfrey, St Victor was primarily concerned with the instruction of its own canons, rather than the emphasis on the extern school operated earlier in the twelfth century. The end of the Victorines as a unique force came by 1173, when the reactionary Walter was appointed as prior. Walter launched a furious attack upon the intellectual culture of the school and its members with his Contra quatuor labyrinthos Francae (Against the Four Labyrinths of France), a denunciation of secular theological teaching. After this violent repudiation of Victorine pedagogical tradition the abbey was, in effect, a self-contained Augustinian priory like any other.		social effect	70					
