Trait Type	Trait Character Types Eligibility	Cultures Excluded for the Trait	Irreversible Level (Level No.)	Hidden Trait or Description?	Anti-Traits	Trait Level	Level Name	In-game Level Name	In-game Level Description	Level Threshold	Level Effects	Level Effects Description	Message When This Level is Gained	Message When This Level is Lost	Character Name Epithet
edct_trait_type	edct_trait_characters	edct_exclude_cultures	edct_no_going_back_level	edct_hidden	edct_antitraits	edct_level	edct_level_name	@trait_level_name_display	@trait_level_description	edct_level_threshold	#edct_level_effects	@trait_level_effects_description	@trait_level_gain_message	@trait_level_lose_message	@trait_level_epiphet
Immobility	princess	-	1	yes	-	0	-	-	-	-	-	-	-	-	-
Immobility	-	-	-	yes	-	1	immobility_lvl1	-	-	1	MovementPoints -100	-	-	-	-
First_Appearance	all	-	1	yes	-	0	-	-	-	-	-	-	-	-	-
First_Appearance	-	-	-	yes	-	1	first_appearance	-	-	1	-	-	-	-	-
ExtremeFertility	family, princess	-	1	yes	-	0	-	-	-	-	-	-	-	-	-
ExtremeFertility	-	-	-	yes	-	1	extreme_fertility_lvl1	-	-	1	Fertility 7	-	-	-	-
Loyal	family	-	1	yes	-	0	-	-	-	-	-	-	-	-	-
Loyal	-	-	-	yes	-	1	loyal_lvl1	-	-	1	Loyalty 3	-	-	-	-
SmartFamily	family	-	-	no	IgnorantFamily	0	-	-	-	-	-	-	-	-	-
SmartFamily	-	-	-	no	-	1	smart_family	Smart	Generally smarter and rational than others - maybe too much to believe without question.	1	Command 1, Construction 2, TaxCollection 2, Farming 2, Trading 2, TrainingAgents 2, TrainingUnits 2, Piety -1	Command +1, Piety -1, farming and trading output +2 %, construction and trainning costs -2 %	-	-	-
SmartPrincess	princess	-	-	no	IgnorantPrincess	0	-	-	-	-	-	-	-	-	-
SmartPrincess	-	-	-	no	-	1	smart_princess	Smart	Generally smarter and more intelligent than most ladies of the court.	1	Charm 1	Charm +1	-	-	-
SmartSpy	spy	-	-	no	IgnorantSpy	0	-	-	-	-	-	-	-	-	-
SmartSpy	-	-	-	no	-	1	smart_spy	Smart	Generally smarter and creative than others.	1	Subterfuge 1, Sabotage 1	Subterfuge +1, Sabotage +1	-	-	-
SmartAssassin	assassin	-	-	no	IgnorantAsassin	0	-	-	-	-	-	-	-	-	-
SmartAssassin	-	-	-	no	-	1	smart_assassin	Smart	Generally smarter and creative than others.	1	Assassination 1, PersonalSecurity 1	Assassination +1, Personal Security +1	-	-	-
SmartDiplomat	diplomat	-	-	no	IgnorantDiplomat	0	-	-	-	-	-	-	-	-	-
SmartDiplomat	-	-	-	no	-	1	smart_diplomat	Smart	Generally smart when arguing with with others.	1	Influence 1	Influence +1	-	-	-
SmartPriest	priest	-	-	no	IgnorantPriest	0	-	-	-	-	-	-	-	-	-
SmartPriest	-	-	-	no	-	1	smart_priest	Smart	Generally smarter and rational than others - maybe too much to believe without question.	1	Piety -1, Unorthodoxy 1	Piety -1, Unorthodoxy +1	-	-	-
IgnorantFamily	family	-	-	no	SmartFamily	0	-	-	-	-	-	-	-	-	-
IgnorantFamily	-	-	-	no	-	1	ignorant_family	Dim-witted	Somwaht simple minded and slow to comprehend. But also more pious as a result.	1	Command -1, Construction -2, TaxCollection -2, Farming -2, Trading -2, TrainingAgents -2, TrainingUnits -2, Piety 2	Command -1, Piety +2, farming and trading output -2 %, construction and trainning costs +2 %	-	-	-
IgnorantPrincess	princess	-	-	no	SmartPrincess	0	-	-	-	-	-	-	-	-	-
IgnorantPrincess	-	-	-	no	-	1	ignorant_princess	Dim-witted	Somwaht simple minded and slow to comprehend what is going on at the court.	1	Charm -1	Charm -1	-	-	-
IgnoranttSpy	spy	-	-	no	SmartSpy	0	-	-	-	-	-	-	-	-	-
IgnoranttSpy	-	-	-	no	-	1	ignorant_spy	Dim-witted	Somwaht simple minded and not very creative at his job.	1	Subterfuge -1, Sabotage -1	Subterfuge -1, Sabotage -1	-	-	-
IgnorantAssassin	assassin	-	-	no	SmartAssassin	0	-	-	-	-	-	-	-	-	-
IgnorantAssassin	-	-	-	no	-	1	ignorant_assassin	Dim-witted	Somwaht simple minded and not very creative at his job.	1	Assassination -1, PersonalSecurity -1	Assassination -1, Personal Security -1	-	-	-
IgnorantDiplomat	diplomat	-	-	no	SmartDiplomat	0	-	-	-	-	-	-	-	-	-
IgnorantDiplomat	-	-	-	no	-	1	ignorant_diplomat	Dim-witted	Somwaht simple minded and slow to comprehend others.	1	Influence -1	Influence -1	-	-	-
IgnorantPriest	priest	-	-	no	SmartPriest	0	-	-	-	-	-	-	-	-	-
IgnorantPriest	-	-	-	no	-	1	ignorant_priest	Dim-witted	Somwaht simple minded and slow to comprehend. But also more pious as a result.	1	Piety +2, Unorthodoxy -1	Piety +2, Unorthodoxy -1	-	-	-
Strong	all	-	-	no	Weak	0	-	-	-	-	-	-	-	-	-
Strong	-	-	-	no	-	1	strong	Strong	Naturally strong and resilient to the hardships of the world.	1	Health 1	Health +1	-	-	-
Weak	all	-	-	no	Strong	0	-	-	-	-	-	-	-	-	-
Weak	-	-	-	no	-	1	weak	Weak	Somewhat weak constitution and health.	1	Health 1	Health -1	-	-	-
Homosexual	family, princess	-	-	no	-	0	-	-	-	-	-	-	-	-	-
Homosexual	-	-	-	no	-	1	homosexual	Homosexual	Attracted to the same sex.	1	Fertility -5	Decreases chance of conception.	-	-	-
Sexuality	family, priest	-	-	no	-	0	-	-	-	-	-	-	-	-	-
Sexuality	-	-	-	no	-	1	deviant	Odd in sex	Has some unusual sexual desires.	1	Piety -1	Piety -1	-	-	-
Sexuality	-	-	-	no	-	2	pervert	Pervert	Has some unacceptable sexual desires.	2	Piety -2	Piety -2	-	-	-
															
PhysicalDefectDiplo	diplomat	-	-	no	PhysicalPerfectDiplo	0	-	-	-	-	-	-	-	-	-
PhysicalDefectDiplo	-	-	1	no	-	1	PhysicalDefectDiplo	Physical Defect	This man has some form of physical imperfection which he feels should be kept from the eyes of others as much as possible, for the sake of his image. It can sometimes be a burden.	1	Influence -1	Influence -1	-	-	-
PhysicalPerfectDiplo	diplomat	-	-	no	PhysicalDefectDiplo	0	-	-	-	-	-	-	-	-	-
PhysicalPerfectDiplo	-	-	-	no	-	1	PhysicalPerfectDiplo	Particular Beauty	This man has some physical attribute which is generally considered to be particularily handsome, and should be highlighted as much as possible. It can sometimes be a burden.	1	Influence 1	Influence +1	-	-	-
PhysicalDefectPrincess	princess	-	-	no	PhysicalPerfectPrincess	0	-	-	-	-	-	-	-	-	-
PhysicalDefectPrincess	-	-	1	no	-	1	PhysicalDefectPrincess	Physical Defect	This woman has some form of physical imperfection which he feels should be kept from the eyes of others as much as possible, for the sake of his image. It can sometimes be a burden.	1	Charm -1, Fertility -1	Charm -1, Fertility -1	-	-	-
PhysicalPerfectPrincess	princess	-	-	no	PhysicalDefectPrincess	0	-	-	-	-	-	-	-	-	-
PhysicalPerfectPrincess	-	-	-	no	-	1	PhysicalPerfectPrincess	Particular Beauty	This woman has some physical attribute which is generally considered to be particularily handsome, and should be highlighted as much as possible. It can sometimes be a burden.	1	Charm 1, Fertility 1	Charm +1, Fertility +1	-	-	-
PhysicalDefectPriest	priest	-	-	no	PhysicalPerfectPriest	0	-	-	-	-	-	-	-	-	-
PhysicalDefectPriest	-	-	1	no	-	1	PhysicalDefectPriest	Physical Defect	This man has some form of physical imperfection which he feels should be kept from the eyes of others as much as possible, for the sake of his image. It can sometimes be a burden.	1	Unorthodoxy 1	Unorthodoxy +1	-	-	-
PhysicalPerfectPriest	priest	-	-	no	PhysicalDefectPriest	0	-	-	-	-	-	-	-	-	-
PhysicalPerfectPriest	-	-	-	no	-	1	PhysicalPerfectPriest	Particular Beauty	This man has some physical attribute which is generally considered to be particularily handsome, and should be highlighted as much as possible. It can sometimes be a burden.	1	Unorthodoxy -1	Unorthodoxy -1	-	-	-
PhysicalDefectFamily	family	-	-	no	PhysicalPerfectFamily	0	-	-	-	-	-	-	-	-	-
PhysicalDefectFamily	-	-	1	no	-	1	PhysicalDefectFamily	Physical Defect	This man has some form of physical imperfection which he feels should be kept from the eyes of others as much as possible, for the sake of his image. It can sometimes be a burden.	1	Authority -1, Charm -1, Fertility -1, LocalPopularity -1, Piety -1, TroopMorale -1	Authority -1, Charm -1, Fertility -1, LocalPopularity -1, Piety -1, TroopMorale -1	-	-	-
PhysicalPerfectFamily	family	-	-	no	PhysicalDefectFamily	0	-	-	-	-	-	-	-	-	-
PhysicalPerfectFamily	-	-	-	no	-	1	PhysicalPerfectFamily	Particular Beauty	This man has some physical attribute which is generally considered to be particularily handsome, and should be highlighted as much as possible. It can sometimes be a burden.	1	Authority 1, Charm 1, Fertility 1, LocalPopularity 1, Piety 1, TroopMorale 1	Authority +1, Charm +1, Fertility +1, LocalPopularity +1, Piety +1, TroopMorale +1	-	-	-
PhysicalDefectSpy	spy	-	-	no	PhysicalPerfectSpy	0	-	-	-	-	-	-	-	-	-
PhysicalDefectSpy	-	-	1	no	-	1	PhysicalDefectSpy	Physical Defect	This man has some form of physical imperfection which he feels should be kept from the eyes of others as much as possible, for the sake of his image. It can sometimes be a burden.	1	Subterfuge -1, Sabotage -1	Subterfuge -1, Sabotage -1	-	-	-
PhysicalPerfectSpy	spy	-	-	no	PhysicalDefectSpy	0	-	-	-	-	-	-	-	-	-
PhysicalPerfectSpy	-	-	-	no	-	1	PhysicalPerfectSpy	Particular Beauty	This man has some physical attribute which is generally considered to be particularily handsome, and should be highlighted as much as possible. It can sometimes be a burden.	1	Subterfuge 1, Sabotage 1	Subterfuge +1, Sabotage +1	-	-	-
PhysicalDefectAssassin	assassin	-	-	no	PhysicalPerfectAssassin	0	-	-	-	-	-	-	-	-	-
PhysicalDefectAssassin	-	-	1	no	-	1	PhysicalDefectAssassin	Physical Defect	This man has some form of physical imperfection which he feels should be kept from the eyes of others as much as possible, for the sake of his image. It can sometimes be a burden.	1	Assassination -1	Assassination -1	-	-	-
PhysicalPerfectAssassin	assassin	-	-	no	PhysicalDefectAssassin	0	-	-	-	-	-	-	-	-	-
PhysicalPerfectAssassin	-	-	-	no	-	1	PhysicalPerfectAssassin	Particular Beauty	This man has some physical attribute which is generally considered to be particularily handsome, and should be highlighted as much as possible. It can sometimes be a burden.	1	Assassination 1	Assassination +1	-	-	-
Tall	family	-	-	no	Short	0	-	-	-	-	-	-	-	-	-
Tall	-	-	1	no	-	1	Tall	Tall	This man is generally considered impressively tall.	1	Charm 1, Fertility 1, LocalPopularity 1, TroopMorale 1	Charm +1, Fertility +1, LocalPopularity +1, TroopMorale +1	-	-	-
Giant	family	-	-	no	Short	0	-	-	-	-	-	-	-	-	-
Giant	-	-	1	no	-	1	Giant	Giant of a man.	This is a giant of a man. This makes him a warrior feared like Goliath, but acts as quite a handicap in other areas.	1	Charm -1, Fertility -1, TroopMorale 2, Law 1, HitPoints 1, Authority 1	Charm -1, Fertility -1, TroopMorale +2, Law +1, HitPoints +1, Authority +1	-	-	-
Short	family	-	-	no	Tall, Giant	0	-	-	-	-	-	-	-	-	-
Short	-	-	1	no	-	1	Short	Short	This man is generally considered quite short.	1	Charm -1, Fertility -1, TroopMorale -1, TrainingAgents 1	Charm -1, Fertility -1, TroopMorale -1, TrainingAgents +1	-	-	-
Powerful	family	-	-	no	Feeble, Weak_in_body	0	-	-	-	-	-	-	-	-	-
Powerful	-	-	-	no	-	1	Powerful	Powerful	This man was born with, or has gained, whether through work or circumstance, a body of immense strengh.	1	Charm -1, Fertility 2, TroopMorale 1, HitPoints 1, Health 1, Authority 1, PersonalSecurity 2	Charm -1, Fertility +2, TroopMorale +1, HitPoints +1, Health +1, Authority +1, PersonalSecurity +2			
Strong_in_body	family	-	-	no	Weak_in_body, Feeble	0	-	-	-	-	-	-	-	-	-
Strong_in_body	-	-	-	no	-	1	Strong_in_body	Strong in body	This man was born with, or has gained, whether through work or circumstance, a particularily strong body.	1	Fertility 1, Health 1, PersonalSecurity 1	Fertility +1, Health +1, PersonalSecurity +1	-	-	-
Weak_in_body	family	-	-	no	Strong_in_body, Powerful	0	-	-	-	-	-	-	-	-	-
Weak_in_body	-	-	-	no	-	1	Weak_in_body	Weak in body	This man was born with, or has gained, whether through neglect or circumstance, a particularily weak body.	1	Fertility -1, Health -1, PersonalSecurity -1	Fertility -1, Health -1, PersonalSecurity -1	-	-	-
Feeble	family	-	-	no	Powerful, Strong_in_body	0	-	-	-	-	-	-	-	-	-
Feeble	-	-	-	no	-	1	Feeble	Feeble	This man was born with, or has gained, whether through neglect or circumstance, a body of feeble strengh.	1	Fertility -2, TroopMorale -1, HitPoints -1, Health -1, Authority -1, PersonalSecurity -2	Fertility -2, TroopMorale -1, HitPoints -1, Health -1, Authority -1, PersonalSecurity -2	-	-	-
SexualAppetitePos	family	-	-	no	SexualAppetiteNeg	0	-	-	-	-	-	-	-	-	-
SexualAppetitePos	-	-	-	no	-	1	Virile	Sexually Virile	This man has a strong sexual desire.	1	Fertility 1	Fertility +1	-	-	-
SexualAppetitePos	-	-	-	no	-	2	Insatiable	Sexually Insatiable	This man has an unnaturally strong sexual desire. It's been known to impeed on his public life.	2	Fertility 2, Command -1, Charm 1, Piety -1	Fertility +2, Command -1, Charm +1, Piety -1	-	-	-
SexualAppetitePos	-	-	-	no	-	3	Nymphomania	Nymphomaniac	This man has a sexual desire bordering on dangerous. All else is secondary. This man spends his entire day either seeking or in the act of sex.	3	Fertility 3, Command -2, Charm 2, Piety -2, TroopMorale -1, Squalor 1, Law -1, PersonalSecurity -1, MovementPoints -20, Authority -1	Fertility 3, Command -2, Charm +2, Piety -2, TroopMorale -1, Squalor +1, Law -1, PersonalSecurity -1, MovementPoints -20, Authority -1	-	-	-
SexualAppetiteNeg	family	-	-	no	SexualAppetitePos	0	-	-	-	-	-	-	-	-	-
SexualAppetiteNeg	-	-	-	no	-	1	SexuallyDisinterested	Sexually Disinterested	This man feels that, in general, he has more pressing needs than sex.	1	Fertility -1	Fertility -1	-	-	-
SexualAppetiteNeg	-	-	-	no	-	2	Prudent	Prudent	This man is generally not a fan of sexual intercause. In fact, he actively avoids it.	2	Fertility -2, Command 1, Charm -1, Piety 1	Fertility -2, Command +1, Charm -1, Piety +1	-	-	-
SexualAppetiteNeg	-	-	-	no	-	3	Celibate	Celibate	This man, for one reason or another, has vowed total abstinancy from sex. It does mean that he can focus more fully on other matters, but the fustration does occassionally manifest itself.	3	Fertility -3, Command 1, Charm 2, Piety 2, Squalor -1, Law 1, PersonalSecurity 1, MovementPoints 10, Authority 1, Chivalry 1, Farming 1, TaxCollection 3, Construction 1, TroopMorale -2, LocalPopularity -2, Health -1	Fertility -3, Command +1, Charm 2, Piety +2, Squalor -1, Law +1, PersonalSecurity +1, MovementPoints +10, Authority 1, Chivalry +1, Farming +1, TaxCollection +3, Construction +1, TroopMorale -2, LocalPopularity -2, Health -1	-	-	-
SexualAppetitePosPrincess	princess	-	-	no	SexualAppetiteNegPrincess	0	-	-	-	-	-	-	-	-	-
SexualAppetitePosPrincess	-	-	-	no	-	1	Virile	Sexually Virile	This woman has a strong sexual desire, never frowned upon by a potential suiter	1	Fertility 1, Charm 1	Fertility +1, Charm +1	-	-	-
SexualAppetitePosPrincess	-	-	-	no	-	2	Insatiable	Sexually Insatiable	This woman has an unnaturally strong sexual desire. Her focus on it has become a bit of a turnoff to some potential suiters- there's only so much one man can take. It has also began to impede on other aspects of her public life.	2	Fertility 2, Charm -1	Fertility +2, Charm -1	-	-	-
SexualAppetitePosPrincess	-	-	-	no	-	3	Nymphomania	Nymphomaniac	This woman has a sexual desire bordering on dangerous. All else is secondary. Almost all men seem not only repulsed, but scared to be left alone with her. As for other aspects of her public life, they can go hang as far as she is concerned.	3	Fertility 3, Charm -3	Fertility +3, Charm -3	-	-	-
SexualAppetiteNegPrincess	princess	-	-	no	SexualAppetitePosPrincess	0	-	-	-	-	-	-	-	-	-
SexualAppetiteNegPrincess	-	-	-	no	-	1	SexuallyDisinterested	Sexually Disinterested	This woman feels that, in general, she has more pressing needs than sex.	1	Fertility -1	Fertility -1	-	-	-
SexualAppetiteNegPrincess	-	-	-	no	-	2	Prudent	Prudent	This woman is not such a big fan of sexual intercause. She doesn't really see what the big deal is. In fact, she actively avoids it.	2	Fertility -2, Charm -1	Fertility -2, Charm -1	-	-	-
SexualAppetiteNegPrincess	-	-	-	no	-	3	Celibate	Celibate	This woman, for one reason or another, has vowed total abstinancy from sex. It does mean that she can focus more fully on other matters, but hardly makes her much of a promising prospect for the majority of potential suiters.	3	Fertility -3, Charm -3	Fertility -3, Charm -3	-	-	-
WeightPos	family	-	-	no	WeightNeg	0	-	-	-	-	-	-	-	-	-
WeightPos	-	-	-	no	-	1	Overweight	Overweight	This man is considered slightly on the larger side of life. Still, it simply displays prosperity and good health does it not?	1	Fertility -1	Fertility -1	-	-	-
WeightPos	-	-	-	no	-	2	Obese	Positively Obese	This man clearly is dangerously overwieght. If anything, it has become an inconvieniance to both him and all those around him.	2	Fertility -3, Authority -1, Command -1, Health -1, LocalPopularity -1, MovementPoints -10, TroopMorale -2	Fertility -3, Authority -1, Command -1, Health -1, LocalPopularity -1, MovementPoints -10, TroopMorale -2	-	-	-
WeightNeg	family	-	-	no	WeightPos	0	-	-	-	-	-	-	-	-	-
WeightNeg	-	-	-	no	-	1	Undernourished	Undernourished	This man is seems somewhat undernourished. Maybe he has taken one too many fasts? Sure it makes him look lithe and elegant, but he also looks like he could do with some meat on his bones. He certainly isn't as strong or virile as he could be.	1	Fertility -1, MovementPoints -5, Health -1, Command -1, HitPoints -1, Piety 1, TroopMorale 1	Fertility -1, MovementPoints -5, Health -1, HitPoints -1, Command -1, Piety +1, TroopMorale +1	-	-	-
WeightNeg	-	-	-	no	-	2	Starving	Positively Starving	This man actually appears to be dying of malnutrition. He is weak and capable of little. Some aren't sure how long he can last in this state.	2	Fertility -2, Authority -1, Command -1, Health -3, HitPoints -2, MovementPoints -15	Fertility -2, Authority -1, Command -1, Health -3, HitPoints -2, MovementPoints -15	-	-	-
TiredPos	family	-	-	no	TiredNeg	0	-	-	-	-	-	-	-	-	-
TiredPos	-	-	-	no	-	1	Awake	On the Ball	This man is good at maintaining himself when others would not be at the top of their game. He rarely lets things slip due to weariness. It seems to have a positive effect on those around him.	1	MovementPoints 5, Health 1, Command 1, TroopMorale 1, Law 1, PersonalSecurity 1	MovementPoints +5, Health +1, Command +1, TroopMorale +1, Law +1, PersonalSecurity +1	-	-	-
TiredPos	-	-	-	no	-	2	Tireless	Immune to fatigue	This man seems incapable of being tired. Nothing appears capable of stopping him going at full throttle. It's inspiring. But is it good for him? 	2	MovementPoints 15, Authority 1, Fertility 1, Health -2, Command 2, TroopMorale 2, HitPoints 1, Law 1, TaxCollection 3, Squalor -1, LocalPopularity 1, PersonalSecurity 2	MovementPoints +15, Authority +1, Fertility +1, Health -2, Command +2, TroopMorale +2, HitPoints +1, Law +1, TaxCollection +3, Squalor -1, LocalPopularity +1, PersonalSecurity +2	-	-	-
TiredNeg	family	-	-	no	TiredPos	0	-	-	-	-	-	-	-	-	-
TiredNeg	-	-	-	no	-	1	Weary	Weary	This man is not good at maintaining himself when others would simply be fine. He often lets things slip due to weariness. It seems to have a negative effect on those around him.	1	MovementPoints -5, Command -1, TroopMorale -1, Law -1, PersonalSecurity -1	MovementPoints -5, Command -1, TroopMorale -1, Law -1, PersonalSecurity -1	-	-	-
TiredNeg	-	-	-	no	-	2	Exhausted	Exhausted	This man seems continually dead on his feet, passing from task to task like a zombie. It is near impossible to get anything fruitful done in his presence. It can't be good for him. Maybe he needs to take a break.	2	MovementPoints -15, Authority -1, Fertility -1, Health -2, Command -2, TroopMorale -2, HitPoints -1, Law -1, TaxCollection -3, Squalor +1, LocalPopularity -1, PersonalSecurity -2	MovementPoints -15, Authority -1, Fertility -1, Health -2, Command -2, TroopMorale -2, HitPoints -1, Law -1, TaxCollection -3, Squalor +1, LocalPopularity -1, PersonalSecurity -2	-	-	-
ReligiousAffiliationCath	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
ReligiousAffiliationCath	-	-	1	no	-	1	Catholic	Catholic	This man belongs to a Catholic nation.	1	-	-	-	-	-
ReligiousAffiliationOrthodox	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
ReligiousAffiliationOrthodox	-	-	1	no	-	1	Orthodox	Orthodox Christian	This man belongs to an Orthodox Christian nation.	1	-	-	-	-	-
ReligiousAffiliationPagan	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
ReligiousAffiliationPagan	-	-	1	no	-	1	Pagan	Pagan	This man belongs to a Pagan nation.	1	-	-	-	-	-
ReligiousAffiliationShia	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
ReligiousAffiliationShia	-	-	1	no	-	1	Shia	Shia Muslim	This man belongs to a nation aligned to Shia Islam.	1	-	-	-	-	-
ReligiousAffiliationSunni	family	-	-	no	-	0	-	-	-	-	-	-	-	-	-
ReligiousAffiliationSunni	-	-	1	no	-	1	Sunni	Sunni Muslim	This man belongs to a nation aligned to Sunni Islam.	1	-	-	-	-	-
ReligiousInfluenceCathPos	family	-	-	no	ReligiousInfluenceCathNeg	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceCathPos	-	-	-	no	-	1	Cath_Inf1	Immersed in Catholicism	This man's religious zeal has been strenghened by contact with fellow practitioners of his faith.	1	Piety 1	Piety +1	-	-	-
ReligiousInfluenceCathPos	-	-	-	no	-	2	Cath_Inf2	Enamoured with Catholicism	This man's religious zeal has been greatly strenghened by contact with fellow practitioners of his faith, so that he is now an inspiration to others in his strict following of the faith.	1	Piety 2	Piety +2	-	-	-
ReligiousInfluenceCathPriestPos	priest	-	-	no	ReligiousInfluenceCathPriestNeg	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceCathPriestPos	-	-	-	no	-	1	Cath_InfPr1	Immersed in Catholicism	This man's religious zeal has been strenghened by contact with fellow practitioners of his faith.	1	Piety 1, Unorthodoxy -1	Piety +1, Unorthodoxy -1	-	-	-
ReligiousInfluenceCathPriestPos	-	-	-	no	-	2	Cath_InfPr2	Enamoured with Catholicism	This man's religious zeal has been greatly strenghened by contact with fellow practitioners of his faith, so that he is now an inspiration to others in his strict following of the faith.	1	Piety 2, Unorthodoxy -2	Piety +2, Unorthodoxy -2	-	-	-
ReligiousInfluenceCathNeg	family	-	-	no	ReligiousInfluenceCathPos	0	-	-	-	-	-	-	-	-	-
ReligiousInfluenceCathNeg	-	-	-	no	-	1	Cath_InfNeg1	Disengaged with Catholicism	This man's religious zeal has been weakened by contact with fellow practitioners of his faith. He finds them a bit irritating. 	1	Piety -1	Piety -1	-	-	-
ReligiousInfluenceCathNeg	-	-	-	no	-	2	Cath_InfNeg2	Fed up with Catholicism	This man's religious zeal has been greatly weakened by contact with fellow practitioners of his faith. He now feels that they have thoroughly missed the point.	1	Piety -2	Piety -2	-	-	-
ReligiousInfluenceCathPriestNeg	priest	-	-	no	ReligiousInfluenceCathPriestPos	0	-	-	-	-	-	-	-	-	-
